iter	Passed	Remaining
0	119	119330
1	120	60028
2	121	40246
3	121	30324
4	122	24352
5	123	20380
6	123	17548
7	124	15410
8	124	13747
9	125	12415
10	125	11318
11	126	10408
12	126	9633
13	127	8981
14	128	8406
15	128	7900
16	129	7460
17	129	7065
18	129	6711
19	130	6397
20	131	6113
21	131	5848
22	132	5612
23	132	5391
24	133	5192
25	133	5018
26	134	4843
27	135	4693
28	135	4540
29	136	4405
30	136	4277
31	137	4160
32	137	4042
33	138	3937
34	139	3840
35	139	3744
36	140	3653
37	140	3566
38	141	3484
39	141	3407
40	142	3332
41	142	3261
42	143	3192
43	143	3127
44	144	3065
45	144	3006
46	145	2954
47	146	2902
48	146	2852
49	147	2804
50	148	2757
51	148	2711
52	149	2668
53	149	2626
54	150	2584
55	150	2544
56	151	2505
57	152	2468
58	152	2432
59	152	2396
60	153	2362
61	154	2330
62	154	2300
63	155	2270
64	155	2241
65	156	2212
66	156	2184
67	157	2157
68	158	2133
69	158	2108
70	159	2084
71	159	2060
72	160	2038
73	161	2017
74	161	1996
75	162	1977
76	163	1956
77	163	1937
78	164	1917
79	165	1898
80	165	1878
81	166	1859
82	166	1838
83	166	1820
84	167	1803
85	168	1785
86	168	1769
87	169	1752
88	169	1737
89	170	1722
90	170	1707
91	171	1692
92	171	1677
93	172	1662
94	173	1648
95	173	1635
96	174	1621
97	174	1609
98	175	1597
99	176	1585
100	176	1572
101	177	1560
102	177	1548
103	178	1536
104	178	1525
105	179	1513
106	180	1502
107	180	1491
108	181	1480
109	181	1469
110	182	1458
111	182	1447
112	183	1437
113	183	1426
114	184	1416
115	184	1406
116	184	1395
117	185	1386
118	186	1377
119	186	1368
120	187	1358
121	187	1349
122	187	1340
123	188	1331
124	189	1323
125	189	1315
126	190	1307
127	190	1298
128	191	1291
129	191	1284
130	192	1277
131	193	1270
132	193	1262
133	194	1255
134	194	1248
135	195	1240
136	195	1233
137	196	1226
138	196	1219
139	197	1212
140	197	1205
141	198	1197
142	198	1191
143	199	1184
144	199	1177
145	200	1171
146	200	1164
147	201	1158
148	201	1152
149	202	1146
150	202	1140
151	203	1134
152	203	1128
153	204	1122
154	205	1117
155	205	1112
156	206	1107
157	206	1101
158	207	1096
159	207	1091
160	208	1086
161	209	1081
162	209	1076
163	210	1071
164	210	1067
165	211	1063
166	212	1058
167	212	1053
168	213	1048
169	213	1043
170	214	1038
171	214	1034
172	215	1029
173	215	1024
174	216	1020
175	216	1015
176	217	1010
177	217	1006
178	218	1001
